Order,Item,Aisle
1,93,9
1,117,7
1,109,8
1,195,4
1,50,9
2,192,7
2,73,7
2,120,9
2,178,4
2,76,5
2,130,8
2,128,1
2,68,8
2,104,8
2,114,8
2,164,2
3,90,7
3,186,4
3,71,6
3,124,9
3,115,7
3,123,3
4,123,3
4,22,7
4,177,2
4,139,8
4,185,9
4,94,1
4,104,8
4,44,9
4,155,1
4,107,5
5,145,6
5,17,1
5,153,4
5,188,6
5,79,3
5,5,4
5,152,3
5,84,3
5,167,2
5,83,5
5,19,3
5,190,1
6,157,8
6,96,6
6,73,7
6,156,4
6,48,2
6,62,3
6,44,9
7,25,8
7,143,9
7,14,2
7,57,8
7,146,5
8,19,3
8,108,9
8,50,9
8,146,5
8,147,8
8,113,8
8,152,3
8,5,4
8,101,7
8,52,4
8,87,8
8,148,7
9,134,6
9,145,6
9,196,2
9,198,2
10,13,6
10,169,3
10,178,4
10,149,6
10,10,1
10,145,6
11,102,3
11,84,3
11,154,6
11,164,2
11,44,9
11,198,2
12,31,4
12,156,4
12,89,6
13,8,5
13,186,4
13,138,8
14,90,7
14,23,5
14,102,3
14,113,8
14,148,7
14,16,6
14,38,4
14,114,8
14,181,2
15,157,8
15,116,3
15,185,9
15,114,8
15,155,1
15,45,8
15,91,4
15,109,8
16,144,8
16,132,2
16,118,9
16,100,8
16,50,9
16,25,8
17,165,1
17,40,9
17,11,9
17,48,2
17,164,2
17,163,5
17,49,6
18,110,8
18,93,9
18,144,8
18,97,4
18,13,6
18,155,1
18,14,2
18,43,6
18,80,2
18,58,5
19,149,6
20,26,3
20,163,5
20,145,6
21,48,2
21,78,9
21,11,9
21,102,3
21,154,6
21,196,2
22,20,6
22,89,6
22,195,4
22,50,9
22,126,2
22,42,4
22,44,9
23,193,7
23,120,9
23,199,1
23,85,3
23,10,1
23,45,8
23,46,7
24,181,2
24,108,9
24,40,9
24,132,2
24,165,1
24,179,7
24,101,7
24,25,8
24,102,3
24,31,4
25,28,6
25,109,8
25,185,9
25,164,2
26,186,4
26,75,4
26,137,2
26,167,2
26,26,3
27,134,6
27,159,2
27,122,8
27,156,4
27,63,7
27,137,2
28,4,1
28,171,3
28,41,6
28,174,4
28,99,5
29,59,2
29,25,8
29,131,9
29,164,2
29,196,2
29,122,8
29,26,3
29,148,7
29,103,7
29,150,9
29,56,1
29,74,8
30,18,7
30,49,6
30,160,5
30,143,9
30,136,3
30,7,8
31,103,7
31,9,3
32,168,5
33,87,8
33,46,7
33,187,5
33,13,6
33,92,1
33,84,3
33,161,7
34,44,9
34,5,4
34,53,7
34,33,7
34,75,4
34,52,4
34,64,6
34,99,5
35,140,3
35,150,9
35,153,4
35,108,9
35,142,7
35,195,4
35,8,5
35,33,7
35,2,7
35,32,8
36,15,4
37,198,2
37,197,7
37,46,7
37,32,8
37,178,4
37,99,5
37,18,7
37,4,1
37,170,8
37,112,3
37,190,1
38,47,8
38,160,5
38,108,9
38,13,6
38,142,7
38,44,9
38,14,2
38,180,4
38,97,4
38,149,6
38,118,9
39,86,3
39,48,2
39,9,3
39,103,7
39,161,7
39,118,9
39,126,2
39,182,5
40,94,1
40,171,3
40,19,3
40,36,4
40,68,8
40,65,3
40,46,7
40,24,5
40,118,9
40,4,1
40,40,9
40,72,7
41,135,2
41,79,3
42,197,7
42,27,5
42,138,8
43,74,8
43,181,2
44,86,3
44,1,1
44,148,7
44,67,2
44,163,5
44,193,7
44,133,1
44,110,8
44,131,9
44,38,4
45,16,6
45,163,5
45,15,4
45,156,4
45,166,9
45,55,1
45,138,8
45,4,1
45,38,4
45,79,3
45,177,2
45,108,9
46,7,8
46,96,6
46,133,1
47,182,5
47,30,8
47,123,3
47,77,3
47,119,6
47,45,8
47,161,7
47,37,3
47,8,5
47,104,8
47,156,4
48,116,3
48,169,3
48,180,4
49,87,8
49,130,8
49,172,6
50,40,9
50,12,8
50,126,2
50,152,3
50,100,8
50,43,6
50,121,7
50,180,4
